total mall number: 97

mall_id  shopnumber
m_1263:  95
m_3517:  90
m_5892:  104
m_3054:  79
m_4168:  78
m_4406:  58
m_2878:  87
m_3112:  76
m_625:  88
m_626:  96
m_623:  61
m_622:  83
m_4011:  59
m_3445:  68
m_1089:  104
m_3839:  89
m_1085:  53
m_7800:  89
m_3832:  92
m_822:  86
m_4495:  79
m_3739:  85
m_4515:  114
m_5810:  71
m_7374:  79
m_4094:  78
m_1790:  80
m_6167:  124
m_4828:  125
m_2224:  220
m_7973:  91
m_4923:  86
m_6587:  94
m_4543:  93
m_7601:  81
m_2182:  87
m_4422:  94
m_2058:  46
m_1409:  93
m_3425:  68
m_4033:  71
m_1377:  82
m_615:  76
m_4079:  91
m_1621:  109
m_2333:  89
m_1021:  67
m_5529:  78
m_2907:  74
m_5085:  79
m_690:  137
m_4121:  76
m_2009:  58
m_6337:  123
m_7523:  80
m_3313:  77
m_8344:  113
m_9054:  70
m_3019:  62
m_7994:  62
m_5825:  83
m_1950:  128
m_4759:  72
m_4341:  92
m_909:  90
m_4459:  83
m_1293:  108
m_8379:  81
m_3005:  93
m_2123:  73
m_1920:  69
m_6803:  80
m_2415:  94
m_979:  75
m_4187:  89
m_2267:  109
m_3528:  73
m_2715:  76
m_5352:  74
m_4548:  80
m_1831:  66
m_5154:  75
m_3871:  120
m_3501:  72
m_7168:  99
m_3916:  71
m_2578:  118
m_1375:  69
m_968:  97
m_5767:  76
m_5076:  132
m_1175:  125
m_2467:  96
m_2270:  68
m_9068:  74
m_4572:  122
m_8093:  78
